customer_id,name,credit_score,loan_id,default_risk
72,"Jacob Myers",300,1042,High
72,"Jacob Myers",300,356,Low
413,"Lynn Juarez",300,1368,Medium
413,"Lynn Juarez",300,764,Low
533,"William Bishop",301,959,Medium
384,"Jennifer Kennedy",301,2646,Medium
533,"William Bishop",301,1305,Medium
384,"Jennifer Kennedy",301,1997,High
384,"Jennifer Kennedy",301,1992,Low
533,"William Bishop",301,722,Medium
533,"William Bishop",301,1785,High
995,"Jamie Tapia",302,2364,Medium
16,"Jonathan Patel",304,2786,Low
16,"Jonathan Patel",304,1221,Medium
16,"Jonathan Patel",304,663,High
16,"Jonathan Patel",304,718,High
16,"Jonathan Patel",304,1808,Medium
967,"Erica Olson",305,142,High
967,"Erica Olson",305,143,Medium
967,"Erica Olson",305,177,High
967,"Erica Olson",305,2434,Medium
967,"Erica Olson",305,2385,Medium
967,"Erica Olson",305,2309,Medium
967,"Erica Olson",305,1941,High
80,"George Kelly",306,939,High
80,"George Kelly",306,2879,High
80,"George Kelly",306,1150,Medium
80,"George Kelly",306,2432,Medium
219,"Don Monroe II",307,84,High
219,"Don Monroe II",307,2897,Medium
219,"Don Monroe II",307,2843,Low
277,"Kyle Vazquez",307,2771,Medium
219,"Don Monroe II",307,2761,Low
277,"Kyle Vazquez",307,329,Low
277,"Kyle Vazquez",307,430,High
219,"Don Monroe II",307,1985,Low
277,"Kyle Vazquez",307,1350,High
277,"Kyle Vazquez",307,763,Medium
277,"Kyle Vazquez",307,1779,Low
353,"Laura Jones",308,880,Medium
353,"Laura Jones",308,402,High
373,"Justin Diaz",309,864,High
373,"Justin Diaz",309,2597,Medium
108,"Holly Wilson",309,2268,Medium
108,"Holly Wilson",309,1696,High
222,"Jennifer Moss",310,2950,Low
222,"Jennifer Moss",310,1047,Low
222,"Jennifer Moss",310,1807,High
313,"Erin Hall",312,2674,Low
697,"John Tran",312,2565,High
697,"John Tran",312,445,High
313,"Erin Hall",312,2405,High
313,"Erin Hall",312,2383,High
770,"Jessica Reyes",315,849,Medium
770,"Jessica Reyes",315,875,Medium
770,"Jessica Reyes",315,2602,Medium
770,"Jessica Reyes",315,1122,Low
770,"Jessica Reyes",315,1164,Medium
770,"Jessica Reyes",315,1792,Low
29,"Kara Harris",316,1687,Medium
29,"Kara Harris",316,13,Medium
527,"Mr. Charles Arnold DDS",316,1548,Low
527,"Mr. Charles Arnold DDS",316,1512,Low
527,"Mr. Charles Arnold DDS",316,2976,High
29,"Kara Harris",316,1054,High
527,"Mr. Charles Arnold DDS",316,2473,Low
527,"Mr. Charles Arnold DDS",316,2091,High
29,"Kara Harris",316,614,Low
29,"Kara Harris",316,1947,Medium
527,"Mr. Charles Arnold DDS",316,1901,Medium
385,"Susan Torres MD",317,1603,Low
385,"Susan Torres MD",317,2496,High
828,"Scott Martin",317,2240,Low
385,"Susan Torres MD",317,2036,High
748,"Ryan Gray PhD",318,49,Medium
748,"Ryan Gray PhD",318,1003,Medium
897,"Shelby Hernandez",318,2784,Medium
897,"Shelby Hernandez",318,268,High
897,"Shelby Hernandez",318,397,High
748,"Ryan Gray PhD",318,618,Low
897,"Shelby Hernandez",318,1336,Low
748,"Ryan Gray PhD",318,1852,Low
748,"Ryan Gray PhD",318,1742,High
476,"Dominique Anderson",320,848,High
476,"Dominique Anderson",320,488,Medium
476,"Dominique Anderson",320,2191,High
476,"Dominique Anderson",320,552,Low
476,"Dominique Anderson",320,1287,High
663,"Brianna Gonzales",321,23,High
284,"Marc Jackson",321,1614,High
663,"Brianna Gonzales",321,1102,High
284,"Marc Jackson",321,2183,Low
663,"Brianna Gonzales",321,735,Medium
359,"Larry Coleman",321,1870,Low
663,"Brianna Gonzales",321,1414,Low
271,"Megan Boyle",322,125,Medium
271,"Megan Boyle",322,265,High
983,"Daniel Malone",322,2704,Low
271,"Megan Boyle",322,503,High
983,"Daniel Malone",322,516,Low
651,"William Donaldson",322,582,High
370,"Raymond Kirk",322,2128,Medium
245,"John Blevins",323,1485,High
648,"Darius Gamble",323,1087,High
648,"Darius Gamble",323,2355,High
245,"John Blevins",323,562,Medium
245,"John Blevins",323,730,High
639,"Matthew Lopez",324,2863,Low
639,"Matthew Lopez",324,297,High
639,"Matthew Lopez",324,2638,Low
639,"Matthew Lopez",324,2628,Low
639,"Matthew Lopez",324,2576,Low
639,"Matthew Lopez",324,2286,Low
639,"Matthew Lopez",324,1339,High
82,"Anthony Cortez",325,131,High
82,"Anthony Cortez",325,2669,High
82,"Anthony Cortez",325,1128,Low
227,"Travis Perez",326,1877,Medium
504,"Catherine Matthews",327,1605,Low
293,"Emily Wright",327,241,Medium
504,"Catherine Matthews",327,504,High
444,"Benjamin Mason",329,2717,Medium
444,"Benjamin Mason",329,2712,High
444,"Benjamin Mason",329,437,Medium
444,"Benjamin Mason",329,2198,High
444,"Benjamin Mason",329,698,Medium
674,"Catherine Gonzalez",330,1636,Low
674,"Catherine Gonzalez",330,98,High
325,"Keith Chavez",330,403,High
360,"Brenda Wolfe",330,2453,Low
674,"Catherine Gonzalez",330,1208,Low
674,"Catherine Gonzalez",330,2295,High
325,"Keith Chavez",330,1426,High
674,"Catherine Gonzalez",330,818,Low
325,"Keith Chavez",330,1738,Medium
955,"Jeffrey Roberts",331,9,High
742,"Lindsay Robertson",331,2547,Low
955,"Jeffrey Roberts",331,1168,Low
14,"Katherine Smith",331,2402,High
955,"Jeffrey Roberts",331,471,High
955,"Jeffrey Roberts",331,2287,Low
955,"Jeffrey Roberts",331,1950,High
742,"Lindsay Robertson",331,806,Medium
409,"Shannon Gutierrez",333,1644,Medium
409,"Shannon Gutierrez",333,1641,High
409,"Shannon Gutierrez",333,32,Low
621,"Christy Hartman",333,1543,Low
621,"Christy Hartman",333,1491,Low
437,"Kathryn Wright",333,931,Medium
621,"Christy Hartman",333,961,Medium
409,"Shannon Gutierrez",333,989,Medium
409,"Shannon Gutierrez",333,387,High
437,"Kathryn Wright",333,419,High
437,"Kathryn Wright",333,3000,High
409,"Shannon Gutierrez",333,542,Medium
409,"Shannon Gutierrez",333,570,High
409,"Shannon Gutierrez",333,665,Low
437,"Kathryn Wright",333,2013,High
925,"Kimberly Reynolds",333,1929,Low
621,"Christy Hartman",333,789,Low
621,"Christy Hartman",333,1734,Low
76,"Holly Ramirez",334,2319,High
591,"Jeffrey Vargas",335,1528,Medium
500,"Stacie Ellis",335,1523,High
591,"Jeffrey Vargas",335,980,Medium
591,"Jeffrey Vargas",335,2754,Medium
591,"Jeffrey Vargas",335,2632,Medium
500,"Stacie Ellis",335,2189,Medium
500,"Stacie Ellis",335,586,Low
941,"Donald Warren",336,53,High
866,"Patrick Wilcox",337,2878,High
866,"Patrick Wilcox",337,210,Medium
866,"Patrick Wilcox",337,1902,High
636,"Lauren Rodriguez",338,2970,Medium
737,"Keith Deleon",338,2857,Medium
505,"Carrie Morrison",338,2798,High
636,"Lauren Rodriguez",338,310,Medium
636,"Lauren Rodriguez",338,535,High
636,"Lauren Rodriguez",338,1255,Low
636,"Lauren Rodriguez",338,2038,Medium
636,"Lauren Rodriguez",338,1307,High
505,"Carrie Morrison",338,2031,Medium
505,"Carrie Morrison",338,1887,Medium
636,"Lauren Rodriguez",338,1744,Low
423,"Ryan Franco",339,376,Medium
423,"Ryan Franco",339,895,Low
423,"Ryan Franco",339,1109,Low
423,"Ryan Franco",339,1775,Medium
954,"Bradley Benson",340,2447,Medium
954,"Bradley Benson",340,642,Medium
954,"Bradley Benson",340,1810,Low
954,"Bradley Benson",340,1718,Low
199,"Kimberly Gutierrez",341,859,Medium
825,"Katherine Long",341,896,High
199,"Kimberly Gutierrez",341,2567,High
825,"Katherine Long",341,1412,Medium
480,"David Tate",342,1646,Low
961,"Shannon Vazquez",344,909,Medium
889,"Tristan Burke",344,1082,Medium
889,"Tristan Burke",344,351,Low
961,"Shannon Vazquez",344,379,High
889,"Tristan Burke",344,2518,Low
961,"Shannon Vazquez",344,1240,Medium
889,"Tristan Burke",344,1269,High
961,"Shannon Vazquez",344,1302,High
889,"Tristan Burke",344,1899,Low
864,"Barbara Smith",344,802,Medium
625,"James Simon",345,1670,High
625,"James Simon",345,2690,Low
593,"Keith Hale",345,2657,Low
593,"Keith Hale",345,2579,Medium
625,"James Simon",345,770,Medium
593,"Keith Hale",345,1749,High
274,"Brandon Bowen",346,6,Low
997,"Emily Ramirez",346,882,High
274,"Brandon Bowen",346,953,Medium
977,"Kelly Perry",346,162,High
977,"Kelly Perry",346,2650,Medium
977,"Kelly Perry",346,2485,Low
31,"Cory Wong",346,2462,Low
977,"Kelly Perry",346,1183,Low
31,"Cory Wong",346,2071,Medium
31,"Cory Wong",346,2060,Medium
31,"Cory Wong",346,1873,Low
861,"Matthew King",347,1623,High
910,"John Parker",347,929,Medium
910,"John Parker",347,2509,High
55,"Melissa Lowe",347,1198,Medium
861,"Matthew King",347,1330,High
861,"Matthew King",347,1886,Medium
861,"Matthew King",347,1858,Low
910,"John Parker",347,1689,Medium
316,"Louis Collins PhD",348,2637,Medium
316,"Louis Collins PhD",348,1924,Low
374,"Amy Larson",349,262,Low
905,"Catherine Hernandez",349,1068,Low
374,"Amy Larson",349,2029,Medium
420,"Martin Ramos",349,1938,Medium
420,"Martin Ramos",349,778,High
420,"Martin Ramos",349,1432,Low
461,"Barbara Bauer",351,19,High
560,"Jose Gill",351,1653,High
560,"Jose Gill",351,62,Medium
560,"Jose Gill",351,2640,Medium
461,"Barbara Bauer",351,344,Low
560,"Jose Gill",351,1252,Medium
560,"Jose Gill",351,583,Medium
461,"Barbara Bauer",351,2012,Medium
796,"Samantha Fowler",352,2778,Medium
796,"Samantha Fowler",352,2609,Low
592,"Tyler Mcgee",354,58,Low
592,"Tyler Mcgee",354,1295,Low
162,"Rick Herrera",355,2933,High
162,"Rick Herrera",355,175,High
886,"Brandon Butler",355,2544,Medium
898,"Paul Robinson",355,1201,Medium
898,"Paul Robinson",355,1966,Low
898,"Paul Robinson",355,785,High
898,"Paul Robinson",355,816,Medium
169,"John Harris",356,2944,High
169,"John Harris",356,1000,Medium
247,"Samuel Chapman",357,343,Medium
629,"Dr. Whitney Cook DVM",357,1200,High
629,"Dr. Whitney Cook DVM",357,2209,High
247,"Samuel Chapman",357,1697,Low
722,"Derek Humphrey",358,1680,Medium
722,"Derek Humphrey",358,2373,High
970,"Sarah Gibson",358,565,Low
722,"Derek Humphrey",358,566,High
722,"Derek Humphrey",358,2108,Low
970,"Sarah Gibson",358,1767,Low
604,"Gavin Simmons",359,872,Low
604,"Gavin Simmons",359,66,High
483,"Gail Simmons",359,951,High
604,"Gavin Simmons",359,2601,High
483,"Gail Simmons",359,2501,Low
483,"Gail Simmons",359,526,Low
483,"Gail Simmons",359,2094,Low
604,"Gavin Simmons",359,664,Low
709,"Jonathan Case",360,1480,Medium
709,"Jonathan Case",360,2886,Low
709,"Jonathan Case",360,464,High
709,"Jonathan Case",360,1942,High
490,"Victoria Gibson",361,2951,Low
851,"Ronald Frazier",361,287,High
738,"Lisa Ferrell",361,2061,Low
490,"Victoria Gibson",361,723,High
851,"Ronald Frazier",361,742,Medium
490,"Victoria Gibson",361,1777,Low
841,"Marie Payne",363,2801,Medium
892,"Robert Lewis",363,1017,High
841,"Marie Payne",363,326,High
695,"Joel Aguilar",363,1146,Low
892,"Robert Lewis",363,2152,High
841,"Marie Payne",363,609,Medium
841,"Marie Payne",363,638,High
892,"Robert Lewis",363,2025,Medium
841,"Marie Payne",363,1761,Low
515,"Kimberly Carter",364,1123,Medium
515,"Kimberly Carter",364,2409,Low
515,"Kimberly Carter",364,507,High
515,"Kimberly Carter",364,2146,Low
975,"Daniel Henderson",364,1289,Low
515,"Kimberly Carter",364,1306,Medium
975,"Daniel Henderson",364,703,Low
975,"Daniel Henderson",364,1874,Medium
869,"James Wilson",365,866,Low
525,"Jason Holden",365,74,Medium
525,"Jason Holden",365,898,Low
