loan_id,customer_id,total_missed_emis,loan_amount,loan_status,customer_name,credit_score
2888,731,3,48938,Closed,"Eric Mcdonald",800
378,85,2,60428,Rejected,"Megan Leonard",749
1958,128,2,411667,Approved,"Justin Turner",650
814,176,2,189623,Approved,"Miranda Rodriguez",482
1799,272,2,450556,Rejected,"Katelyn Simpson",753
621,378,2,189860,Defaulted,"Evan Jones",385
2748,467,2,151355,Closed,"Jonathon Johnson",394
772,528,2,49177,Approved,"Lauren Flores",406
2871,741,2,339136,Approved,"Luke Jacobs",748
1242,971,2,439699,Defaulted,"Christine Hampton",583
2223,1000,2,362936,Rejected,"Mary Reynolds",783
2591,2,1,59765,Closed,"Steven Hicks",513
2824,11,1,185327,Closed,"Jason James",481
1649,15,1,36824,Approved,"Megan Johnson",642
663,16,1,46602,Approved,"Jonathan Patel",304
2975,19,1,200735,Approved,"Jonathan Vargas",383
2045,21,1,399622,Closed,"Jacob Wood",846
970,26,1,205973,Rejected,"Sarah Armstrong",494
2996,27,1,85170,Rejected,"Ms. Kimberly Gomez DVM",499
2550,27,1,484789,Closed,"Ms. Kimberly Gomez DVM",499
13,29,1,174410,Closed,"Kara Harris",316
197,33,1,279224,Closed,"Michael Stein",649
1194,35,1,49018,Approved,"Mary Silva",404
2545,43,1,292439,Approved,"Cynthia Wilkins",728
236,43,1,332705,Closed,"Cynthia Wilkins",728
724,49,1,273193,Defaulted,"Jeremy Ross",556
1021,50,1,268776,Rejected,"Teresa Scott",714
1677,52,1,56719,Defaulted,"Steven Watkins",690
2644,56,1,116512,Closed,"James Brown",810
1092,61,1,452828,Approved,"Jasmin Griffin",525
222,69,1,212399,Closed,"Anne Ellison",830
1042,72,1,253796,Rejected,"Jacob Myers",300
1462,73,1,295622,Approved,"John Lewis",506
1624,78,1,76472,Approved,"Richard Weeks",654
2166,79,1,465540,Rejected,"Mr. Henry Duffy",445
131,82,1,54781,Approved,"Anthony Cortez",325
2470,90,1,285014,Approved,"Marie Koch",490
2186,93,1,8516,Closed,"Diana Miller",658
1278,95,1,74785,Defaulted,"Keith Moore",717
80,102,1,388843,Closed,"Stacey Walsh",505
1234,105,1,414877,Approved,"Amy Cunningham",579
883,106,1,169544,Closed,"Megan Smith",401
398,107,1,53429,Defaulted,"Luis Hall",452
767,109,1,162736,Closed,"Derrick Smith",788
2876,111,1,322918,Rejected,"Andrew Patel",613
446,118,1,320173,Closed,"Dalton Nguyen",601
1293,128,1,121631,Defaulted,"Justin Turner",650
1589,130,1,365344,Defaulted,"Jordan Carter",607
532,132,1,70794,Closed,"Robert Thompson",671
171,140,1,472137,Approved,"Diane Crosby",522
28,140,1,144321,Rejected,"Diane Crosby",522
1563,157,1,386109,Rejected,"Rachel Walker",513
1356,167,1,68568,Approved,"Cheryl Wright",531
1905,172,1,94806,Rejected,"Lisa Chan",512
2883,175,1,481837,Rejected,"Kelly Spencer",645
2776,181,1,110833,Approved,"Joseph Jacobson",405
1708,183,1,354482,Rejected,"Michael Barnes",462
2578,184,1,401419,Approved,"Elizabeth Owens",550
1840,185,1,73342,Approved,"Carolyn Rollins",675
1798,186,1,329599,Closed,"Kendra Shields",375
286,187,1,257193,Rejected,"Gina Sullivan",787
1362,189,1,454003,Rejected,"Thomas Farmer",494
1341,196,1,8554,Closed,"Claire Cannon",400
2666,207,1,166835,Approved,"Randy Wilcox",727
1919,215,1,18320,Rejected,"Brian Bruce",441
1754,216,1,75447,Rejected,"Sara Walker",424
739,218,1,84327,Closed,"Kimberly Montes",572
1985,219,1,173566,Rejected,"Don Monroe II",307
1047,222,1,189469,Approved,"Jennifer Moss",310
2352,225,1,215069,Closed,"Eugene Kim",456
1836,226,1,278413,Closed,"Ms. Diane Drake",768
412,226,1,459571,Defaulted,"Ms. Diane Drake",768
2641,228,1,472891,Approved,"Lindsay Jenkins",709
2325,229,1,241765,Closed,"Christopher Mills",417
1659,231,1,360914,Approved,"Julie Adkins",591
1574,232,1,362201,Closed,"Robert Underwood",420
242,234,1,440850,Rejected,"Timothy White",780
87,234,1,384255,Closed,"Timothy White",780
1630,241,1,468229,Approved,"Holly Molina",778
1704,246,1,469994,Closed,"Edward Lopez",554
267,252,1,355720,Rejected,"Pamela Oneal",625
1161,253,1,201758,Closed,"Paige Wolf",541
1939,257,1,97424,Defaulted,"Ashley Ball",580
435,265,1,409408,Closed,"Keith Summers",372
533,266,1,145987,Defaulted,"Michael Thornton",817
2164,267,1,256195,Approved,"Dr. Kelly Nelson",695
399,273,1,226433,Defaulted,"Dana Cohen",565
1350,277,1,225519,Approved,"Kyle Vazquez",307
329,277,1,361877,Approved,"Kyle Vazquez",307
2318,283,1,350487,Closed,"Stephanie Smith",611
2183,284,1,241296,Rejected,"Marc Jackson",321
1564,288,1,305604,Defaulted,"Jonathan Carlson",815
687,289,1,254237,Defaulted,"Anthony Davis",608
834,295,1,462979,Closed,"Carl Richards",490
2262,302,1,463973,Defaulted,"James Miller",780
413,305,1,442096,Defaulted,"Vicki West",585
1602,306,1,458769,Approved,"Heather Fletcher",530
1395,306,1,165555,Approved,"Heather Fletcher",530
2502,312,1,93632,Defaulted,"Michael Davis",547
546,312,1,99629,Defaulted,"Michael Davis",547
2637,316,1,441747,Approved,"Louis Collins PhD",348
2990,318,1,53922,Defaulted,"Tracy Gates",690
1423,321,1,388356,Approved,"James Oconnor",379
229,324,1,480644,Rejected,"Christina Williams",397
1095,326,1,110260,Closed,"Douglas Holland",554
2849,327,1,23846,Closed,"Melissa White",630
2088,329,1,124415,Rejected,"Edward Love",791
2832,330,1,17150,Defaulted,"Kimberly Rose PhD",518
1751,330,1,280819,Rejected,"Kimberly Rose PhD",518
741,331,1,228251,Approved,"Maria Kelley",733
627,340,1,450353,Defaulted,"Patrick Martinez",708
2153,342,1,457570,Defaulted,"Daniel Moody",490
2680,350,1,87004,Rejected,"William Garrett",393
243,350,1,29265,Defaulted,"William Garrett",393
4,352,1,348100,Closed,"Danielle Durham",547
880,353,1,393713,Approved,"Laura Jones",308
1988,355,1,145993,Rejected,"Brooke Downs",466
1321,363,1,68929,Rejected,"Timothy Casey",512
2109,371,1,206359,Approved,"Jillian Chase",416
2621,372,1,36066,Rejected,"Tonya Hayes",505
835,372,1,307419,Rejected,"Tonya Hayes",505
1365,376,1,427860,Closed,"Cheryl Wilkinson",418
50,378,1,201059,Closed,"Evan Jones",385
2808,379,1,148238,Closed,"Beth Cochran",436
1088,392,1,285985,Defaulted,"Andre Stewart",424
904,393,1,253974,Approved,"Victoria Carlson",674
2525,398,1,443408,Defaulted,"Nancy Day",803
82,399,1,162408,Defaulted,"Jonathan Ramirez",828
1431,402,1,337744,Rejected,"Rhonda Brown",590
1590,408,1,119574,Rejected,"David Massey",727
32,409,1,291889,Closed,"Shannon Gutierrez",333
1867,411,1,184880,Rejected,"Becky Smith",548
1869,417,1,143377,Rejected,"Brenda Blankenship",822
696,417,1,144894,Defaulted,"Brenda Blankenship",822
200,418,1,457642,Rejected,"Max Johnson",802
1432,420,1,409684,Approved,"Martin Ramos",349
2492,432,1,210568,Closed,"Vanessa Gonzalez",639
1592,432,1,252948,Defaulted,"Vanessa Gonzalez",639
974,433,1,423211,Defaulted,"Heather Melendez",407
1407,435,1,227882,Rejected,"Heather Ho",764
940,436,1,135538,Defaulted,"Sarah Taylor",424
2474,439,1,213111,Rejected,"Monica Hudson",415
437,444,1,37050,Approved,"Benjamin Mason",329
1981,445,1,411771,Approved,"Donna Hill",523
1860,446,1,72803,Approved,"Meredith Garcia",845
2519,452,1,146773,Defaulted,"Kristina Pearson",366
90,458,1,199008,Defaulted,"Nicole Jensen",838
1059,464,1,81350,Closed,"Michael Montgomery",639
2928,471,1,341277,Approved,"Calvin Smith",678
1292,471,1,215881,Defaulted,"Calvin Smith",678
2994,472,1,128785,Rejected,"Virginia Jacobs",483
1646,480,1,64426,Defaulted,"David Tate",342
1554,482,1,292911,Approved,"Justin Morris",830
2902,485,1,353044,Rejected,"Joshua Church",554
1849,486,1,190142,Closed,"Maureen Johnston",679
1451,489,1,465961,Approved,"Ashley Jones",517
2829,491,1,468641,Approved,"Lisa Hawkins",542
2667,492,1,122926,Closed,"Willie Allen",481
1673,492,1,90881,Defaulted,"Willie Allen",481
271,494,1,38572,Rejected,"Sierra Hawkins",749
2779,501,1,407648,Approved,"Jasmine Trevino",712
729,503,1,482937,Defaulted,"Kristin Logan",822
2798,505,1,101490,Approved,"Carrie Morrison",338
1887,505,1,203869,Defaulted,"Carrie Morrison",338
878,511,1,154751,Defaulted,"Regina Wilson",531
206,511,1,257232,Approved,"Regina Wilson",531
1283,512,1,125352,Defaulted,"Maxwell Baird",387
2409,515,1,401880,Rejected,"Kimberly Carter",364
