address,total_loans_disbursed,total_loan_amount,average_loan_amount
"PSC 5810, Box 0062, APO AA 90331",6,1801040,300173.3333
"7772 Brandon Spring Suite 742, Luisfurt, ME 75874",6,1722817,287136.1667
"22879 Anna Mount Suite 571, Derektown, NM 64934",5,1698191,339638.2000
"274 Karen Meadows, New Jessica, AK 21632",6,1656534,276089.0000
"4269 Maurice Fords, South Christopher, MA 90765",5,1635470,327094.0000
"1238 Maxwell Common, West Kathleen, TN 15476",5,1564919,312983.8000
"USCGC Henry, FPO AE 51819",4,1548493,387123.2500
"3347 James Track, Seanmouth, VA 38747",4,1517218,379304.5000
"USS Vaughn, FPO AA 44829",4,1490604,372651.0000
"53694 Reynolds Avenue Apt. 123, Walterport, NV 60291",7,1461747,208821.0000
"627 Carl Crossroad, Mollystad, KY 93544",4,1450596,362649.0000
"9434 Galvan Mount, Omarmouth, OK 43803",4,1447288,361822.0000
"Unit 2797 Box 1867, DPO AP 14427",5,1411496,282299.2000
"4691 Taylor Ford, East Bryanfurt, NE 03803",6,1408917,234819.5000
"6621 Rosario Lights, Lake Lauren, AK 10564",4,1391502,347875.5000
"1697 Castaneda Flat Suite 940, Taylorside, WY 40622",5,1385624,277124.8000
"568 Herrera Trafficway, North Josefort, IL 58156",4,1380101,345025.2500
"0314 Erik Fields, Hansenmouth, ID 06834",4,1379768,344942.0000
"336 Santana Tunnel, Laurieside, DC 60997",4,1338624,334656.0000
"975 Miller Shore, Bethview, WA 80927",4,1300276,325069.0000
"4299 Haynes Heights, New Andrewfurt, ID 45529",3,1298513,432837.6667
"4610 Jessica Wall Apt. 869, Petersfort, KY 71747",5,1292724,258544.8000
"74540 Catherine Manors Apt. 885, New Williamville, RI 57338",5,1286980,257396.0000
"860 Byrd Mission Apt. 418, Pricebury, NV 63848",3,1286211,428737.0000
"44354 Fowler Court, North Kathleenview, WA 09854",3,1283968,427989.3333
"64938 Rebecca Views Suite 823, Heidishire, AZ 79562",5,1271023,254204.6000
"389 Jose Court, South Deanbury, ME 85425",4,1261325,315331.2500
"03641 Kayla Pines Suite 497, Kennethtown, MN 36783",4,1253227,313306.7500
"Unit 9354 Box 5388, DPO AE 09780",5,1232758,246551.6000
"13644 Spencer Knolls, West Leahhaven, MD 31663",5,1213719,242743.8000
"8810 Gomez Island Apt. 729, New Jenniferfort, AK 14850",3,1211298,403766.0000
"36232 Stewart Knoll, East Nicholasville, UT 15005",3,1201204,400401.3333
"372 Gonzalez Stravenue Suite 808, Katelynborough, NH 30045",3,1172394,390798.0000
"8667 Lisa Isle, Markhaven, NJ 49138",4,1169093,292273.2500
"43499 Mcdaniel Highway, North Adamberg, MT 50820",3,1168860,389620.0000
"472 Brooke Club, East Andrew, IN 36626",3,1166024,388674.6667
"7325 Jasmine Greens, Longburgh, ND 21603",3,1163816,387938.6667
"942 Tyler Court Suite 585, Evansmouth, MA 17275",4,1163583,290895.7500
"PSC 5673, Box 5812, APO AA 94775",3,1154166,384722.0000
"334 Theresa Corners, Clarkeview, UT 35511",3,1148745,382915.0000
"3529 Michele Trail Suite 800, East Jamieborough, WA 64010",5,1128950,225790.0000
"86033 Davis Freeway, East Cynthiaburgh, KS 59017",4,1111910,277977.5000
"PSC 5754, Box 7187, APO AA 12064",4,1107249,276812.2500
"91944 Boyle Parkways, Wareshire, MA 33634",3,1106898,368966.0000
