customer_id,name,customer_since,years_with_bank,total_loans,total_loan_amount,average_loan_amount
241,"Holly Molina",12/4/2014,10,5,1677468,335493.6000
228,"Lindsay Jenkins",12/16/2014,10,6,1453074,242179.0000
684,"Nicholas Skinner",12/15/2014,10,6,1378769,229794.8333
616,"Robin Carter",12/4/2014,10,4,1065219,266304.7500
387,"Tanya Mann",12/17/2014,10,2,616022,308011.0000
917,"Keith Armstrong",12/10/2014,10,3,612637,204212.3333
99,"James Washington",12/2/2014,10,3,500771,166923.6667
892,"Robert Lewis",12/14/2014,10,3,492342,164114.0000
434,"Yvonne Ellison",12/18/2014,10,1,444271,444271.0000
236,"Brandon Duncan",11/29/2014,10,1,337836,337836.0000
70,"Travis Hammond",9/22/2015,9,7,2426611,346658.7143
111,"Andrew Patel",8/22/2015,9,7,2176299,310899.8571
272,"Katelyn Simpson",3/11/2015,9,5,2045500,409100.0000
911,"Mary Harris",4/15/2015,9,8,1776886,222110.7500
266,"Michael Thornton",4/17/2015,9,5,1712441,342488.2000
617,"David Rogers",11/19/2015,9,4,1627175,406793.7500
546,"Lauren Berry",3/10/2015,9,6,1618122,269687.0000
621,"Christy Hartman",3/7/2015,9,5,1611223,322244.6000
705,"Brad Soto",8/18/2015,9,4,1575610,393902.5000
522,"Lori Alexander",10/14/2015,9,4,1560325,390081.2500
630,"Carol Russell",4/3/2015,9,4,1555529,388882.2500
720,"Jennifer Clay",10/16/2015,9,4,1489105,372276.2500
123,"Megan Dixon",8/18/2015,9,4,1420829,355207.2500
807,"Kristina Johnson",1/22/2015,9,7,1401952,200278.8571
860,"Shirley Torres",7/1/2015,9,5,1374191,274838.2000
908,"Tiffany Estrada",1/29/2015,9,6,1329697,221616.1667
67,"Jessica Kelly",12/4/2015,9,3,1290160,430053.3333
849,"Kathleen Long",10/16/2015,9,5,1270598,254119.6000
386,"Tina Jones",9/25/2015,9,3,1254574,418191.3333
381,"David Lee",10/15/2015,9,5,1245104,249020.8000
643,"Frederick Ferguson",6/25/2015,9,5,1236667,247333.4000
722,"Derek Humphrey",5/29/2015,9,4,1221708,305427.0000
254,"Cathy Smith",10/24/2015,9,5,1216340,243268.0000
209,"Courtney Lewis",1/16/2015,9,5,1186428,237285.6000
637,"Rachel Stewart",12/14/2015,9,4,1181704,295426.0000
538,"Lori Mitchell",12/16/2015,9,4,1110576,277644.0000
803,"Joshua Carlson",12/26/2014,9,4,1099163,274790.7500
952,"Charles Krause",3/20/2015,9,5,1083819,216763.8000
364,"Jacqueline Guerrero",6/27/2015,9,4,1056309,264077.2500
283,"Stephanie Smith",10/26/2015,9,5,1053871,210774.2000
719,"Christina Caldwell",10/25/2015,9,5,1032594,206518.8000
748,"Ryan Gray PhD",6/21/2015,9,5,1021388,204277.6000
232,"Robert Underwood",8/6/2015,9,3,1011683,337227.6667
659,"William Miller",3/31/2015,9,3,1003962,334654.0000
83,"Kenneth White",10/6/2015,9,3,969217,323072.3333
313,"Erin Hall",7/6/2015,9,3,965139,321713.0000
278,"Shannon Turner DDS",6/1/2015,9,3,956188,318729.3333
977,"Kelly Perry",12/25/2014,9,4,949635,237408.7500
200,"Thomas Spencer",11/25/2015,9,3,935163,311721.0000
223,"Sara Garza",1/22/2015,9,5,934307,186861.4000
838,"Melissa Hodges",4/25/2015,9,5,927946,185589.2000
142,"Alex Singh",8/25/2015,9,2,911401,455700.5000
159,"Ann Mooney",1/23/2015,9,3,896297,298765.6667
17,"Jenna Contreras MD",5/19/2015,9,4,852873,213218.2500
311,"Laura Spears",4/5/2015,9,2,835783,417891.5000
49,"Jeremy Ross",10/22/2015,9,3,833834,277944.6667
889,"Tristan Burke",1/14/2015,9,5,801806,160361.2000
999,"David Stevenson",6/10/2015,9,3,769705,256568.3333
8,"Ashley Young",9/14/2015,9,3,756604,252201.3333
607,"Amber Reed",7/19/2015,9,2,735866,367933.0000
133,"Andrew Hamilton",10/8/2015,9,2,690716,345358.0000
910,"John Parker",1/3/2015,9,3,680525,226841.6667
888,"Daniel Huber",10/8/2015,9,3,671398,223799.3333
339,"Melinda Mcdonald",12/27/2014,9,4,660680,165170.0000
947,"Mary Stuart",10/3/2015,9,2,645866,322933.0000
433,"Heather Melendez",8/24/2015,9,3,636738,212246.0000
507,"David Stevens",8/31/2015,9,4,597331,149332.7500
158,"Anthony Reese",4/28/2015,9,3,561706,187235.3333
250,"Brittney Gonzalez",4/27/2015,9,4,555997,138999.2500
403,"Debbie Forbes",5/2/2015,9,3,537741,179247.0000
416,"Charles Tran",1/22/2015,9,4,505347,126336.7500
794,"Carla Rose",8/29/2015,9,2,489636,244818.0000
307,"Nathan Warren",12/4/2015,9,1,480061,480061.0000
338,"Jeremy Brown",12/18/2015,9,1,460558,460558.0000
877,"Annette Mercado",7/2/2015,9,2,457039,228519.5000
996,"Stacy Hill",8/20/2015,9,1,450762,450762.0000
380,"Paul James",11/21/2015,9,2,447516,223758.0000
358,"Thomas Avila",6/19/2015,9,2,444382,222191.0000
284,"Marc Jackson",12/20/2015,9,2,435293,217646.5000
457,"Kevin Pena",11/12/2015,9,1,433718,433718.0000
986,"Stephen Clark",10/10/2015,9,1,427926,427926.0000
322,"Mitchell Dixon",6/5/2015,9,2,420848,210424.0000
883,"Ruben Weiss",4/16/2015,9,2,406815,203407.5000
98,"Joseph Carter",6/16/2015,9,1,394189,394189.0000
314,"Kevin Gould",5/9/2015,9,1,385367,385367.0000
552,"Kathleen Young",3/2/2015,9,1,365729,365729.0000
191,"John Moore",2/19/2015,9,2,365086,182543.0000
627,"Laura Nelson",7/4/2015,9,2,360575,180287.5000
154,"Angela Oneill",8/13/2015,9,2,356383,178191.5000
141,"Brian Cain",2/23/2015,9,2,356094,178047.0000
798,"Robert Oneill",4/7/2015,9,3,344937,114979.0000
626,"Jennifer Wade",10/18/2015,9,2,332414,166207.0000
417,"Brenda Blankenship",2/17/2015,9,3,331601,110533.6667
206,"Joe Gonzalez",6/3/2015,9,2,330823,165411.5000
44,"Andrew Francis",4/22/2015,9,2,326920,163460.0000
473,"Jose Morris",9/6/2015,9,1,314874,314874.0000
